Date,Max Temp (°C),Min Temp (°C),Avg Temp (°C)
2025-05-03,37.3,25.9,31.599999999999998
2025-05-04,35.3,24.2,29.75
2025-05-05,36.6,26.4,31.5
2025-05-06,37.6,27.7,32.65
2025-05-07,37.4,27.1,32.25
2025-05-08,38.7,27.4,33.05
2025-05-09,39.6,27.8,33.7
2025-05-10,40.2,27.8,34.0
2025-05-11,41.1,28.0,34.55
2025-05-12,39.1,28.3,33.7
2025-05-13,35.2,28.3,31.75
2025-05-14,36.2,28.7,32.45
2025-05-15,38.7,29.0,33.85
2025-05-16,36.0,29.3,32.65
2025-05-17,37.9,28.5,33.2
2025-05-18,36.9,27.9,32.4
2025-05-19,37.2,28.5,32.85
2025-05-20,37.5,28.5,33.0
2025-05-21,37.7,28.5,33.1
2025-05-22,35.6,28.0,31.8
2025-05-23,32.1,27.0,29.55
2025-05-24,33.1,26.9,30.0
2025-05-25,32.6,27.1,29.85
2025-05-26,32.9,27.2,30.049999999999997
2025-05-27,30.8,27.1,28.950000000000003
2025-05-28,31.1,27.5,29.3
2025-05-29,33.3,27.3,30.299999999999997
2025-05-30,34.6,27.3,30.950000000000003
2025-05-31,34.0,28.4,31.2
2025-06-01,37.2,28.3,32.75
2025-06-02,39.8,30.2,35.0
2025-06-03,37.3,29.4,33.349999999999994
2025-06-04,37.5,28.6,33.05
2025-06-05,35.4,27.0,31.2
2025-06-06,35.9,26.8,31.35
2025-06-07,36.3,27.4,31.849999999999998
2025-06-08,37.0,28.4,32.7
2025-06-09,36.8,28.9,32.849999999999994
2025-06-10,34.6,27.9,31.25
2025-06-11,33.2,27.7,30.450000000000003
2025-06-12,32.8,27.5,30.15
2025-06-13,34.9,28.0,31.45
2025-06-14,35.6,28.1,31.85
2025-06-15,35.8,28.2,32.0
2025-06-16,31.0,27.1,29.05
2025-06-17,29.4,26.4,27.9
2025-06-18,29.1,26.6,27.85
2025-06-19,29.2,26.0,27.6
2025-06-20,32.1,27.6,29.85
2025-06-21,32.8,28.2,30.5
2025-06-22,34.6,28.7,31.65
2025-06-23,32.6,28.0,30.3
2025-06-24,33.0,27.4,30.2
2025-06-25,30.4,27.4,28.9
2025-06-26,30.9,26.7,28.799999999999997
2025-06-27,31.3,26.7,29.0
2025-06-28,29.8,26.7,28.25
2025-06-29,28.1,25.4,26.75
2025-06-30,28.5,25.4,26.95
2025-07-01,29.5,25.8,27.65
2025-07-02,30.4,26.5,28.45
2025-07-03,29.3,26.6,27.950000000000003
